"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
2,2,0,0,0,0.478264102564103,0.498871794871795,0.338760105030039,0.382243875686256,0.0569477656050879,0.818296766653657,0.446099612303078,0.204319715686142,2,0,0,0.474708427780584,0.504572758451444,3,4,4
4,1,1,1,1,0.983566666666667,0.820302564102564,0.50537629069979,0.392172391914798,7.58674213148236e-05,0.381235670670867,0.217418016679585,0.50091655831784,1,1,1,0.991923145349553,0.816309995024556,2,3,4
2,2,0,0,0,0.541135897435897,0.603946153846154,0.500769433016077,0.504262387017764,0.912486125858174,0.897139672003686,0.108375298976898,0.620181717723608,1,0,0,0.547075349341855,0.535032745686378,2,2,2
2,2,1,0,1,0.532692307692308,0.669646153846154,0.346360739309785,0.489400055964964,9.57404777679471e-08,0.89882221352309,0.668018880672753,0.796340907365084,2,0,0,0.557641017371234,0.630789700802391,2,3,4
3,1,1,0,1,0.9506,0.469207692307692,0.368069006361219,0.480053695347973,3.48079143477342e-05,0.828497477807105,0.811919390037656,0.30281813647598,NA,NA,NA,NA,NA,4,2,2
2,1,0,0,1,0.648097435897436,0.528074358974359,0.364957283788226,0.585398807361476,8.97282248502052e-13,0.416652883216739,0.889599098823965,0.124084911681712,1,0,0,0.586845826655039,0.528123764133447,3,2,3
3,1,1,0,1,0.919405128205128,0.530046153846154,0.362243228774007,0.462194405057691,0.000141267892160624,0.641673051565885,0.541299700550735,0.8779013087973,NA,NA,NA,NA,NA,4,2,2
4,1,1,1,0,0.948333333333333,0.649517948717949,0.368489639634192,0.359047641613461,0.681536991219129,0.440429774299264,0.388280219398439,0.383448550477624,1,1,1,0.939865098932401,0.662102101108633,3,3,3
1,1,0,0,1,0.511323076923077,0.462938461538462,0.574745260586559,0.396180705853421,1.06607360716993e-08,0.774273705855012,0.272122523747385,0.633138347417116,NA,NA,NA,NA,NA,2,3,4
4,1,1,1,0,0.810646153846154,0.690202564102564,0.343456619854439,0.3629385622516,0.38331469340956,0.211404015310109,0.403348128497601,0.109789197146893,1,1,1,0.809405283694999,0.690321738910899,4,4,4
3,1,1,0,0,0.899879487179487,0.497848717948718,0.410134589326882,0.390629562468609,0.441276326782093,0.227086896821857,0.812231741286814,0.463387811556458,NA,NA,NA,NA,NA,3,3,3
